Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,company_name_text,company_age,Province,python_yn,rstudio_yn,spark,excel,aws
Data Scientist.,"CA$71k-CA$90k
(Glassdoor Est.)","Job Description
Status: Permanent – Full-time
Location: Montréal – Griffintown

At Brainfinance, we pride ourselves in offering the highest possible quality of customer experience. We are looking for a person who thrives in a team environment, who is passionate, driven and who yearns to grow personally and professionally. This person will become part of a team that thrives on the new challenges presented by a fast-paced and constantly evolving environment. The chosen candidate will possess a keen eye for detail and will come up with innovative ideas that will contribute to the success of both the company and the customer experience.

As a Data Scientist, you will be working with teammates who are passionate, helpful, and strive to get the best out of Big Data .

Responsibilities
Participating in daily and bi-weekly scrum activities (Daily scrum, sprint planning, sprint review, and sprint retrospective).
Working with Business Analysts and Business Units to understand the business and requirements.
Working with DevOps Engineers and Software Engineers (Mobile and Web) to integrate Big Data Science solutions.
Developing data analysis and science solutions with Python.
Leveraging NumPy, SciPy, Pandas, MLlib, Scikit-Learn, NLTK, Scrapy, and Keras.
Utilizing Apache Spark, Apache Kafka, and Apache Cassandra to develop scalable real-time and data-driven applications
Advantages
A cutting edge technology stack: https://stackshare.io/brainfinance/
Competitive salary.
Fun and relaxed work environment.
Full health benefits - Medical.
Free healthy snacks and refreshments.
Advancement opportunities.
Great office location.
Providing opportunities to attend trainings and conferences
Requirements
A bachelor degree in software engineering or related fields ( A Ph.D. degree is a plus ).
Software engineers experienced with Python programming language.
3+ years of experience with Python Machine Learning and Optimization.
2+ years of experience with Apache Cassandra.
2+ years of experience with Apache Spark.
Familiarity with Apache Kafka and Apache Mesos.
Familiarity with Deep Learning libraries such as TensorFlow or Theano or CNTK.
Experience with GIT and Continuous Integration.
Being open to learn and explore new technologies.
Experience working in an agile environment (preferably, Scrum).",5.0,"Brain Finance Lab
5.0",Montreal,-1,51 to 200 Employees,-1,Private Practice / Firm,-1,-1,Less than $1 million (USD),-1,71,90,80.5,"Brain Finance Lab
",-1,QC,1,0,1,1,0
Data Scientist,"CA$48k-CA$80k
(Glassdoor Est.)","Détails du poste
Data Scientist
Date 2020-02-21
Numéro 2729
Secteur Technologie
Durée Permanent
Expertises Rôle et Responsabilités:
Extraire et analyser les données se trouvant dans les bases de données de l’entreprise afin d’optimiser et d’améliorer le développement des produits, les techniques de marketing et les stratégies commerciales.
Évaluer l’efficacité et l’exactitude des nouvelles sources de données et techniques de collecte de données.
Élaborer des algorithmes et des modèles de données personnalisées à appliquer aux ensembles de données.
Utiliser une modélisation prédictive pour accroître et optimiser l’expérience des clients, les revenus générés, le ciblage publicitaire et d’autres résultats opérationnels.
Élaborer un cadre de tests A/B pour l’entreprise et mettre à l’essai la qualité du modèle.
Coordonner différentes équipes fonctionnelles pour mettre en œuvre des modèles et surveiller les résultats.
Élaborer des processus et des outils pour le contrôle et l’analyse du rendement des modèles et de l’exactitude des données.

Exigences et requis:
Titulaire d’une maîtrise ou d’un doctorat en statistique, informatique, analyse des systèmes de gestion ou autre domaine connexe.
Au moins 6 ans d’expérience en science des données ou en statistiques appliquées.
Solides aptitudes pour le développement de produits et la résolution de problèmes.
Expérience dans l’utilisation de langages informatiques statistiques (R, Python, SLQ, etc.) pour manipuler les données et extraire des renseignements de grands ensembles de données.
Expérience dans la manipulation d’ensembles de données et l’élaboration de modèles statistiques.
Expérience avec diverses techniques d’apprentissage automatique (Forêt d'arbres décisionnels, gradient boosting, machines à vecteur de support, réseaux de neurones, réseaux bayésiens, etc.) et de leurs avantages et inconvénients dans le monde réel.
Expérience avec les techniques et concepts statistiques sophistiqués (MLG/régression, séries chronologiques, propriétés des distributions, tests statistiques et utilisation conforme, etc.).
Expérience dans l’utilisation et la création d’architectures de données.
Expérience dans l’utilisation de services Web : Redshift, S3, Azure, Spark, DigitalOcean, etc.
Expérience dans l’analyse de données provenant de: Microsoft Application insights, Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Expérience dans la visualisation et la présentation de données pour des intervenants, à l’aide de : Periscope, Microsoft Power BI, Business Objects, D3, ggplot, etc.
Expérience de direction d’initiatives axées sur le service client.
Excellentes aptitudes pour la communication verbale et écrite en vue de la coordination des équipes.",-1.0,Services Conseils IntelliSoft inc,Montreal,-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,48,80,64.0,Services Conseils IntelliSoft inc,-1,QC,1,0,1,1,0
Applied Scientist,"CA$74k-CA$103k
(Glassdoor Est.)","We are looking for a customer obsessed Applied Scientist who can apply the latest research, state of the art algorithms and machine learning to build highly scalable systems in the financial accounting domain. Does the challenge of advancing one of the worlds most scalable, reliable, and secure e-commerce platforms that processes tens of millions of financial transactions, in multiple currencies and countries excite you? Have you ever wanted to work on machine learning problems that will make a lasting impact, solving key problems that impact the experience of millions of Amazon customers? If you are passionate about solving complex problems, in a challenging environment, we would love to talk with you.

As a member of our team you will develop and evaluate machine learning models using large data-sets, cloud services and customer behaviour to improve our customers experience. Working closely with best-in-class engineers you will have the opportunity to apply a variety of machine learning algorithms, including deep learning, and work on one of the world's largest data sets to influence the long term evolution of our technology roadmap. You will need to be entrepreneurial, able to deal with ambiguity and work in a highly collaborative environment.

WHO IS FLASH?

Financial Ledger & Accounting Systems Hub (FLASH), a division within Amazons eCommerce Foundation (eCF) is leading significant innovations in business systems integration and defining the future of accounting. Our group has been entrusted with accurate and timely recording of financial events for Amazons revenue generating businesses and our systems are advancing one of the world's most scalable, reliable, and secure e-commerce platforms that process hundreds of billions of dollars in transactions, in multiple currencies and countries. We are at the centre of Amazons key initiatives and fuelling the growth of Amazons businesses worldwide. Think about what it takes to process the tens of millions of financial transactions that are generated each day as millions of purchases are made, as thousands of suppliers are paid, as inventory moves in and out of warehouses, and as vendors are paid!




Basic Qualifications

· Ph.D./M.S. in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field
· 3+ years of hands-on experience in predictive modelling and analysis
· 2+ years hands-on experience in Python, Scala, Java, C#, C++ or other similar languages
· 1+ years professional experience in software development
· Proficiency in model development, model validation and model implementation for large-scale applications
· Ability to convey mathematical results to non-science stakeholders
· Strength in clarifying and formalizing complex problems

Preferred Qualifications

· Ph.D. in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field;
· 6+ years of practical experience applying ML to solve complex problems in an applied environment;
· Significant peer-reviewed scientific contributions in premier journals and conferences;
· Strong CS fundamentals in data structures, problem solving, algorithm design and complexity analysis;
· Experience with defining research and development practices in an applied environment;
· Experience working with Deep Learning frameworks (MxNet, TensorFlow, etc.);
· Proven track record in technically leading and mentoring scientists;
· Superior verbal and written communication and presentation skills, ability to convey rigorous mathematical concepts and considerations to non-experts.",3.9,"Amazon.com, Inc.
3.9",Vancouver,-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1,74,103,88.5,"Amazon.com, Inc.
",26,BC,1,0,0,0,0
Advanced Analytics Consultant,"CA$45k-CA$59k
(Glassdoor Est.)","AddThisShare

Advanced Analytics Consultant

Job Duties and Responsibilities
Understand the business requirements and process around advanced analytics model execution
Collect data from disparate structured and unstructured sources in support of model development
Examine, validate, and consolidate data from the different sources to build analytical data sets
Leverage R, Python, SAS, or other statistical modelling tool to support the initiatives of our client
Develop the statistical models to support the various use cases presented:
Unsupervised learning for the purposes of deeper data discovery
Supervised learning to support a wide range of predictive analytics exercises
Simulated-based analyses for determining optimal decisions / behavioral patterns
Graph-based data model design and algorithm development (graph propagation, minimum directed cycles, maximum connected graph etc.)
Optimization of model parameters to ensure model accuracy
Scale models to support parallelization and distributed computing platforms for efficient execution
Leverage Spark to build scalable models on Hadoop
Integrate analytical models into business processes
Capture and presenting statistically-guided business insights
Capture model outcomes and insights through visualizations, operational reports, and dashboards
Drive discussions with business and IT to explain gained insights, models, model integration into business process, etc.
Required Skills, Education, Knowledge and Experience
Master’s degree in Computer Science (focused on algorithmic or statistical computations), Computer Engineering, Machine Learning, Applied Math, or Statistics
Preferably the program length would be two-years and research-based
2-3 years of applicable work experience
PhD degree holders from similar academic backgrounds would be beneficial but is not required
Knowledge of general statistical distributions and their applications
Proficiency with at least one scripting language (Python, Matlab)
Moderate experience with at least one programming language (Java, C/C++/C#)
Experience with at least one statistical package (R, SAS, SPSS); preference is R
Knowledge of Linux and shell scripting
Experience with at least one project that includes some form of data collection, data cleansing, data aggregation, model training and testing, and visualization
Familiarization with standard Hadoop Stack (HDFS, Hive, Spark, Flume, Kafka, etc.)
Knowledge of open-source machine learning tools (Theano, TensorFlow, CNTK, H20.ai, etc.)
Desirable Skills and Experience
Statistical model development in R, SAS, SPSS, etc.
Machine learning algorithm development or implementation (custom deployments in R, Python, Java, Scala, etc.)
Model lifecycle development and planning
Model validation and optimization
Metric calculations
Data integration and aggregation
General scripting (preference in Python)
Implementing big data (Hadoop) solutions
Good presentation and communication skills
Nice to Haves
Ability to travel and work abroad
Open to considering a full-time, permanent position
Equal Opportunity Employer

In our commitment to promote fair and equitable treatment of all employees and applicants, Adastra Corporation provides equal employment opportunities for all individuals regardless of age, sex, disability, race, ethnic origin, citizenship, creed, sexual orientation, marital status or any other ground as described in the Ontario Human Rights Code. In addition, accommodation will be provided during the hiring process. Adastra Corporation’s implementation and support of employment initiatives encourage diversified labour force participation and equal access to opportunities based on merit and performance.",2.4,"Adastra Software Ltd.
2.4",Toronto,-1,51 to 200 Employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),-1,45,59,52.0,"Adastra Software Ltd.
",-1,ON,1,0,1,1,0
Analyste de données / Data Analyst,"CA$29k-CA$89k
(Glassdoor Est.)","// ENGLISH VERSION WILL FOLLOW ...//

Poste: Analyste de données

Relève de: BI Manager

Fonctions:
Déterminer les besoins de l’équipe de jeu au niveau analytique;
Définir les spécifications de la collecte d’information;
Apporter du support aux programmeurs lors de l’implémentation du système de collecte de données;
Participer au processus de vérification de qualité des données en collaboration avec l’équipe QA;
Créer des modèles analytiques et tableaux de bord personnalisés;
Générer des rapports d’analyse personnalisés;
Présenter, sous forme de story telling, les insights générés au travers des analyses, à tout type d’audience;
Fournir des recommandations opérationnelles en termes de design et de monétisation;
Participer à l’amélioration continue des processus décisionnels au sein de l’équipe de production;

Expérience et qualifications:
3 ans d’expérience pertinente ou équivalente dans le domaine du jeu mobile ou connexe.
Expérience de production d’une application mobile est un atout majeur.
Expérience avancée avec des plateformes analytiques tel que deltaDNA ou Amplitude.
Expérience pertinente avec des outils de reporting tel que Looker, PowerBI ou Tableau.
Compétent au niveau statistique et data mining.
Capacité de générer des connaissances poussées à partir de jeu de données multidimensionnel.
Bonne compréhension des concepts de Game Design, Economic Game Design et monétisation pour un jeu mobile.
Expérience en programmation SQL : un atout important.
Connaître d’autres langages de programmation tels que R et Python sont des plus.

Qualités interpersonnelles:
Grandes habiletés pour expliquer des phénomènes complexes et interreliés de façon claire et concise à tout type d’audience (anglais et français).
Axé sur l’impact opérationnel, débrouillard et capable de prendre de l’initiative.
Excellentes compétences relationnelles, capable de collaborer avec différents intervenants qui ont des objectifs différents et potentiellement contradictoires.
Faire preuve de pragmatisme et de rigueur dans les approches méthodologiques.
Être capable de s’adapter dans un environnement où les priorités peuvent changer régulièrement.
Être capable de faire preuve d’humilité et d’aider à faire progresser l’équipe

Motivation et intérêts:
De l’ambition et de la passion pour les jeux vidéo sont essentiels!
Title: Data Analyst
Reports to: BI Manager

Duties:
Determine the development team’s needs at an analytical level;
Define the specializations of the information collected;
Provide support to the developer when implementing the data collection system;
Participate in the verification process of the data quality in collaboration with the QA team;
Create analytical models and personalized dashboards;
Generate personalized analytical reports;
Present in a story telling format the insights generated through analyzes, to all types of audiences;
Provide operational recommendations in terms of design and monetization;
Participate in the continuous improvement of decision-making processes within the production team.

Experience and qualifications:
3 years of pertinent experience or equivalent in the mobile game field or related;
Production experience of a mobile application is a major asset;
Advanced experience with analytical platforms such as deltaDNA or Amplitude;
Pertinent experience with reporting tools such as Looker, PowerBI or Tableau;
Competent at a statistical and data mining level;
Capacity to generate advanced knowledge from multidimensional game data;
Good understanding of Game design concepts, Economic Game design and monetization for a mobile game;
Experience in SQL programming: an important asset;
Knowledge of other programming languages such as R and Python are a plus.

Interpersonal qualities:
Strong ability to explain complex and interrelate phenomena in a clear and concise manner to any type of audience (English and French);
Focused on the operational impact, resourceful and able to take initiative;
Excellent interpersonal skills, able to collaborate with different stakeholders that have different objectives and that are potentially contradictory;
Demonstrate pragmatism and rigor in methodological approaches;
Able to adapt in an environment where priorities can regularly change;
Able to be humble and help the team to move forward.

Motivation and interests:
Passion and ambition for video games are essential!",3.2,"SQUARE ENIX HOLDINGS CO., LTD.
3.2",Montreal,-1,1001 to 5000 Employees,1975,Company - Public,Video Games,Media,Unknown / Non-Applicable,-1,29,89,59.0,"SQUARE ENIX HOLDINGS CO., LTD.
",45,QC,1,0,0,0,0
DEVELOPER / DATA ANALYST,"CA$44k-CA$71k
(Glassdoor Est.)","AXIS is an energetic growth company with a seasoned and progressive Management team specializing in assisting organizations with the development and implementation of CRM solutions. At the core of our web, database and custom applications is our Cleansing and Matching department. This team focuses exclusively on converting, parsing, standardizing, verifying / correcting and matching consumer and business information to create a holistic view of the client.

More specifically, our Cleansing and Matching department is focused on assisting clients in the following areas:

Enhancing the quality, relevance, and usability of their customer data
Leverage the cleansed data for analytics, marketing, and profitability
Establish metrics and targets for improvements
Implementing processes to achieve data quality targets
Design and building customer focused databases that links disparate customer records across the enterprise into unified retail and commercial views with the objective of achieving the highest customer experience across all channels
Must Have Skills
Solid understanding and experience with relational databases
Working knowledge of SQL Server Integration Services
Proficiency in writing and debugging T-SQL code
Programming knowledge in (but not limited to) C#/VB.NET/VB6
Experience with Microsoft Office (Access, Excel, and Word)
Areas of Responsibility
Participating in the analysis of Client business objectives and scoping of projects
Development using partner software including SAP Business Objects Data Services (formerly Business Objects DQXI).
Interpret functional specifications
Develop Job scripts (Build/Test)
Data Transformation & Cleansing
Parser Rules Table Development
Matching Rules Table Development
End-to-end job stream
Support in writing functional documents using pre-established templates
Development using C#/VB/SSIS or similar to build interfaces that utilize BO Data Services objects
Analysis of Customer Data Quality using Data Cleansing and Profiling Software and customized SQL Database Software (MS SQL Server, MS Access, MS Excel)
Quality Assurance Testing
Performing detailed Analysis of parsing and matching results obtained, comparing results from multiple software systems / projects
Participates in meetings with both external and internal clients
Research/knowledge improvement in best practices for Data Cleansing, Address Standardization and Customer Linking
Coordinating and applying modifications to the database with project management and development staff
Define and implement data transfer and data conversion strategies
Implement ETL processes and data flows
Maintaining existing T-SQL code and DTS/SSIS packages
General Qualifications/Assets
College or University degree in Computer Science / Mathematics or a related discipline
A minimum of 1-2 years work experience in data processing and/or database development
Ability to work in team as well as independently
Excellent analytical and problem-solving skills as well as attention to detail
Document code with detailed inline comments, and create clear external documentation as required
Good communication skills, both oral and written and ability communicate effectively with both technical and non-technical individuals
Ability to quickly learn and grasp new matching/cleansing partner software and technologies
Experience in marketing database industry and/or data cleansing and matching would be an asset
Design and development experience with SAP Business Objects Data Services a major plus
Please send your cover letter and resume to careers@axis-dbm.com. No attachments other than Microsoft Word or Acrobat PDF will be accepted. You may also copy and paste your resume and cover letter into the email body.",3.5,"AXIS Integrated Inc.
3.5",Mississauga,-1,1 to 50 Employees,1990,Company - Private,-1,-1,Less than $1 million (USD),-1,44,71,57.5,"AXIS Integrated Inc.
",30,-1,0,0,0,0,0
Intermediate Data Analyst,"CA$47k-CA$65k
(Glassdoor Est.)","Job Description

Assist in identifying and documenting current state data environment and Identity & Access Management (IAM) business, process, and application architectures
Assist the Data Architect in identifying and documenting current, interim, interim and target state data architecture that will encompass all potential data management capabilities now and into the future

Assist in creating a data migration strategy from legacy/current state to staging/interim state data environments

Work with SIS vendor to assist in data migration from staging/interim state to the new SIS target state environment

Identify critical data elements (CDE) and related data classifications that support key business processes
Work with business to identify business rules per CDE and transform those rules into data quality rules used for data quality profiling

Create and/or update existing Data Policies and Standards

Requirements


Minimum of five (5) years of experience as a data analyst planning, designing and implementing data initiatives in a data management, data governance, data quality, and/or metadata capacity.

Experience in creating an enterprise-wide business glossary comprised of candidate and/or approved business terms and definitions
Experience in creating data lineage (both technical and business) and in depth analysis of data sources to verify conformity to Business Rules and Data Quality standards.

Demonstrated knowledge of Data Management and Data Governance experience.

Experience with identifying data-related KPI’s and reporting progress within appropriate scorecards/dashboards

Familiarity with data mining, analytics, and visualization tools

Familiarity with Master and Reference Data management concepts

Understanding of industry segment leading tools including experience in evaluating cloud-based technologies.

Knowledge and project experience with the DAMA-DMBOK framework

Bachelor’s degree in a computer science or related field

High level of analytical, problem-solving, and creative skills

Excellent communication skills",5.0,"QSI Inc.
5.0",Ottawa,-1,1 to 50 Employees,1989,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,47,65,56.0,"QSI Inc.
",31,ON,0,0,0,0,0
Machine Learning Scientist (Biology or Chemistry background required),"CA$68k-CA$120k
(Glassdoor Est.)","At ProteinQure, we are building a computational platform for design of protein therapeutics. Our mission is to help to create a world where drugs are engineered, not discovered. We work on treatments for cancer, diabetes, asthma, and cardiovascular diseases, among others, and partner with industry leaders in drug discovery to generate novel therapeutics outside of the conventional chemical space.

Our technology combines computational biophysical models with statistical and machine learning approaches to enable us to search across vast spaces of protein therapeutics. We build and deploy these computational modules using a scalable cloud computing infrastructure and complement their predictions with results from wet lab experiments. We utilize advanced computing architectures based on high-performance GPUs, TPUs and investigate novel methodologies in biophysical modelling and quantum computing.

ProteinQure is a seed-stage company and has recently (Q2 2019) raised its seed round of USD $4M led by top Silicon Valley and Canadian investors.

We're looking for a Machine Learning Scientist to join our team in Toronto (Canada). You should think about joining us if you enjoy using state-of-the-art machine learning algorithms in high impact applications.

We are building out our computational RD team. We are adding members with experience in applying machine learning to biology (and chemistry) systems complement other team members who are leaders in the field of biophysical computational methods. It is a interdisciplinary team with many opportunities for growth and impact.
Responsibilities
Perform research and development of new methods for learning from protein sequence and structure datasets
Unsupervised learning of protein/peptide sequence representation to assist in downstream machine learning engineering within the platform
Development of supervised learning algorithms for protein structure prediction, protein-protein interaction prediction, and protein property prediction
Work with data sets that are diverse in type and size (sparse/big data sets, 3D models, amino acid sequences, structural features)
Work side-by-side with chemists, biologists, and software engineers to develop drug candidates
Assist software engineering team in deployment of ML tools at scale
Help create optimization protocols incorporating predictive tools in ProteinQure platform
Present our work at major conferences and to customers
Nice to haves
Peer-reviewed publications on applications of machine learning in biology, or new methods in natural language processing or computer vision
Experience with other computational tools for biology
Experience working with multiple developers with distributed version control (Git)

Requirements
PhD in relevant field OR Masters and multiple years of working experience
Knowledge of biology, familiarity with biological data (sequence, structure)
Benefits at ProteinQure include medical, dental and vision insurance and health spending account, which you can use on gym memberships or massages. We believe in enabling our employees to be their most productive selves - from extremely ergonomic chairs to standing desks and powerful, portable laptops. Employees are encouraged to buy (and get a refund for) equipment, books, or whatever tools that would make their work life easier.

The office is situated in downtown Toronto, in the Chinatown area, with plenty of great restaurants nearby. Toronto is a great cultural hub (film festivals, theatres, museums and concerts) and supports active lifestyle (amateur sports leagues, waterfront beaches, surfing or even (ice) climbing). Canadian nature offers options for calming retreats and the country is very diverse, welcoming and open to newcomers.

The team is currently composed of 11 people and we’re expecting to grow to 20 people by 2020. The team composition is roughly 40% software engineers and data scientists, 40% computational biologists, medicinal chemists (including experimentalists performing experiments in wet lab) and 20% business and administration.

Celebration of diversity of all forms is embedded in our culture. Great work is the result of diverse thinking and experiences and we have a workplace where those differences can thrive. Over two thirds of the team was born outside of Canada.

Collaborative learning is at heart of what we do at ProteinQure - we have weekly lunch and learns (often with guest lecturers from outside of the company), attend (and organize!) meetups and hackathons and educate each other about best practices. We support our employees and sponsor attendance to conferences or professional events (up to $3000 a year).

Ownership of work is fundamental to way we operate. People will encourage you to problem solve and figure out how to best deliver results. You’re completely free to take vacation (and run errands) as long as you are responsible and performing. The last thing we want to do is micromanage our team. We try empower our employees, trust them to deliver and hold them accountable.

Our hiring process consists of three steps:
• Introductory call (20 min) - we want to get to know you, understand your motivations and needs. This is a chance to ask questions about the company!
• Technical interview (90 min) - Video (or in person). We ask questions to understand your background a little bit better than your CV or GitHub profile can tell us.
• On-site interview (3 hours) - We try to be flexible on the timing of the on-site. If you are not from Toronto area, we’ll cover the travel and accommodation expenses.

We will give you our decision within 5 business days of the on-site interview. For the international candidates, we sponsor visas and help with relocation.",5.0,"ProteinQure
5.0",Toronto,-1,1 to 50 Employees,2017,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,68,120,94.0,"ProteinQure
",3,ON,0,0,0,0,0
Data Analyst,"CA$49k-CA$66k
(Glassdoor Est.)","MC03 Data Analyst
Full Time Posting Date: 02/10/2020 Closing Date: 03/07/2020 Seeking a consultant with strong experience in capturing / analyzing business / data requirements on different finance systems, database design / modeling, compliance regulatory, data visualization and project management.
Analysis of data loading and integrity of Enterprise Data Warehouse from multiple systems.
Experience in processing complex data set using Excel Macro/VBA for reporting purpose.
Experience with reconciliation supplier data with Third Party Risk Management system and Oracle R12.
Work with Senior Management to develop and implement automated dashboards and analytic tools to track progress against business goals.
Analyze business performance and generate ad-hoc business reports.
Make presentations and reports based on data analysis and expedite root cause analyses against recurring issues and provide insights for strategic planning.
Manage data, information, reports etc. and coordinate with various stakeholders.
Data management skills with attention to details and accuracy.
Experience in creating documentation including Mapping document, Master Tracker document, process training documentation, SOP (Standards of procedure), system use case and UML diagrams, test plan, test scenarios and test cases.
Creating use case, UML diagrams, data flow diagrams, business process and data process models.
Experience with Data visualization tools like Power BI or Tableau. Toronto, ON Canada Apply",3.8,"Maxima Consulting
3.8",Toronto,-1,51 to 200 Employees,-1,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),-1,49,66,57.5,"Maxima Consulting
",-1,ON,0,0,0,0,0
Advanced Analytics Consultant,"CA$58k-CA$82k
(Glassdoor Est.)","Advanced Analytics Consultant

Job Duties and Responsibilities
Understand the business requirements and process around advanced analytics model execution
Collect data from disparate structured and unstructured sources in support of model development
Examine, validate, and consolidate data from the different sources to build analytical data sets
Leverage R, Python, SAS, or other statistical modelling tool to support the initiatives of our client
Develop the statistical models to support the various use cases presented:
Unsupervised learning for the purposes of deeper data discovery
Supervised learning to support a wide range of predictive analytics exercises
Simulated-based analyses for determining optimal decisions / behavioral patterns
Graph-based data model design and algorithm development (graph propagation, minimum directed cycles, maximum connected graph etc.)
Optimization of model parameters to ensure model accuracy
Scale models to support parallelization and distributed computing platforms for efficient execution
Leverage Spark to build scalable models on Hadoop
Integrate analytical models into business processes
Capture and presenting statistically-guided business insights
Capture model outcomes and insights through visualizations, operational reports, and dashboards
Drive discussions with business and IT to explain gained insights, models, model integration into business process, etc.
Required Skills, Education, Knowledge and Experience
Master’s degree in Computer Science (focused on algorithmic or statistical computations), Computer Engineering, Machine Learning, Applied Math, or Statistics
Preferably the program length would be two-years and research-based
2-3 years of applicable work experience
PhD degree holders from similar academic backgrounds would be beneficial but is not required
Knowledge of general statistical distributions and their applications
Proficiency with at least one scripting language (Python, Matlab)
Moderate experience with at least one programming language (Java, C/C++/C#)
Experience with at least one statistical package (R, SAS, SPSS); preference is R
Knowledge of Linux and shell scripting
Experience with at least one project that includes some form of data collection, data cleansing, data aggregation, model training and testing, and visualization
Familiarization with standard Hadoop Stack (HDFS, Hive, Spark, Flume, Kafka, etc.)
Knowledge of open-source machine learning tools (Theano, TensorFlow, CNTK, H20.ai, etc.)
Desirable Skills and Experience
Statistical model development in R, SAS, SPSS, etc.
Machine learning algorithm development or implementation (custom deployments in R, Python, Java, Scala, etc.)
Model lifecycle development and planning
Model validation and optimization
Metric calculations
Data integration and aggregation
General scripting (preference in Python)
Implementing big data (Hadoop) solutions
Good presentation and communication skills
Nice to Haves
Ability to travel and work abroad
Open to considering a full-time, permanent position
Equal Opportunity Employer

In our commitment to promote fair and equitable treatment of all employees and applicants, Adastra Corporation provides equal employment opportunities for all individuals regardless of age, sex, disability, race, ethnic origin, citizenship, creed, sexual orientation, marital status or any other ground as described in the Ontario Human Rights Code. In addition, accommodation will be provided during the hiring process. Adastra Corporation’s implementation and support of employment initiatives encourage diversified labour force participation and equal access to opportunities based on merit and performance.",3.4,"Adastra Group
3.4",Toronto,-1,201 to 500 Employees,2000,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,58,82,70.0,"Adastra Group
",20,ON,1,0,1,1,0
Data Analyst,"CA$49k-CA$63k
(Glassdoor Est.)","As a leading mobile games developer, Jam City is looking to “level up” our talent for our Bingo team in Toronto. We’re on the hunt for innovators who consider themselves dynamic, collaborative and thrive in a fast-paced environment.

PERKS & BENEFITS
Unlimited Vacation, Paid Sick Days & Holidays*
100% Employee Covered Medical, Dental, Vision Plan Base Plan*
Life Insurance, RRSP matching, Flexible Spending Accounts & More*
Catered Lunches & Well-stocked Kitchens
Company Events such as movie night, pub night and more…
You'll be equipped with a high-end laptop, monitor and mobile device
Convenient location in downtown Toronto’s entertainment and technology district
*Only applies to full-time positions.

ABOUT THE ROLE
We are currently looking for a Data Analyst to join our Bingo Pop team! You will get the opportunity to work with some of gaming’s top talent, while lending your analytical talents to help us create top-tier mobile games. Our ideal candidate would have a strong appetite to learn, inquire and apply their knowledge to give informed proposals on the design of our game.
RESPONSIBILITIES
Building reports, dashboards and data visualizations that are used everyday by team leads and executives.
Developing new metrics and player cohorts to unlock insights into player behavior.
Assisting in the design of new game features.
Helping to manage billions of rows of data along with our data pipeline.
Responding to ad-hoc requests from the executive, financial or marketing teams when insights into our data are needed.
QUALIFICATIONS
BA/BS degree or equivalent.
1+ years of experience working with data on a live product.
Strong data analysis skills using spreadsheets and querying databases.
Previous startup experience is desirable, comfort in an agile environment.
Strong understanding of SQL or Redshift and proficiency in data visualization.
Strong attention to detail and proven analytical skills.
The ability to communicate and present information clearly.
An appetite to learn, grow, and take on increasingly more responsibility.
A strong desire to answer questions that can drive actionable decisions.
Knowledge of the mobile gaming industry in order to provide recommendations on game design.
NICE TO HAVE
Experience working on a free to play mobile game.
ABOUT JAM CITY
Jam City is an award-winning mobile entertainment studio providing unique and deeply engaging games that appeal to a broad, global audience.

Led by CEO Chris DeWolfe, former MySpace co-founder and CEO, and COO Josh Yguado, former 20th Century Fox executive, Jam City is the creative powerhouse behind some of the highest-grossing and most enduring mobile games. Jam City’s global franchise Cookie Jam has generated more than half a billion dollars, and Panda Pop has more than 120 million downloads to date.

The company also is the go-to studio for Hollywood, having developed immersive, narrative-rich mobile games around iconic entertainment brands. The company’s popular RPG game Harry Potter: Hogwarts Mystery was the #1 game in more than 40 countries at its launch in April 2018.

Jam City has nine studios located in Los Angeles (HQ), Berlin, Buenos Aires, Bogotá, Burbank, Cedar Falls, San Diego, San Francisco, and Toronto.",3.9,"Jam City, Inc.
3.9",Toronto,-1,501 to 1000 Employees,2010,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1,49,63,56.0,"Jam City, Inc.
",10,ON,0,0,0,0,0
