Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Advanced Analytics Consultant,"CA$58k-CA$82k
(Glassdoor Est.)","Advanced Analytics Consultant

Job Duties and Responsibilities
Understand the business requirements and process around advanced analytics model execution
Collect data from disparate structured and unstructured sources in support of model development
Examine, validate, and consolidate data from the different sources to build analytical data sets
Leverage R, Python, SAS, or other statistical modelling tool to support the initiatives of our client
Develop the statistical models to support the various use cases presented:
Unsupervised learning for the purposes of deeper data discovery
Supervised learning to support a wide range of predictive analytics exercises
Simulated-based analyses for determining optimal decisions / behavioral patterns
Graph-based data model design and algorithm development (graph propagation, minimum directed cycles, maximum connected graph etc.)
Optimization of model parameters to ensure model accuracy
Scale models to support parallelization and distributed computing platforms for efficient execution
Leverage Spark to build scalable models on Hadoop
Integrate analytical models into business processes
Capture and presenting statistically-guided business insights
Capture model outcomes and insights through visualizations, operational reports, and dashboards
Drive discussions with business and IT to explain gained insights, models, model integration into business process, etc.
Required Skills, Education, Knowledge and Experience
Master’s degree in Computer Science (focused on algorithmic or statistical computations), Computer Engineering, Machine Learning, Applied Math, or Statistics
Preferably the program length would be two-years and research-based
2-3 years of applicable work experience
PhD degree holders from similar academic backgrounds would be beneficial but is not required
Knowledge of general statistical distributions and their applications
Proficiency with at least one scripting language (Python, Matlab)
Moderate experience with at least one programming language (Java, C/C++/C#)
Experience with at least one statistical package (R, SAS, SPSS); preference is R
Knowledge of Linux and shell scripting
Experience with at least one project that includes some form of data collection, data cleansing, data aggregation, model training and testing, and visualization
Familiarization with standard Hadoop Stack (HDFS, Hive, Spark, Flume, Kafka, etc.)
Knowledge of open-source machine learning tools (Theano, TensorFlow, CNTK, H20.ai, etc.)
Desirable Skills and Experience
Statistical model development in R, SAS, SPSS, etc.
Machine learning algorithm development or implementation (custom deployments in R, Python, Java, Scala, etc.)
Model lifecycle development and planning
Model validation and optimization
Metric calculations
Data integration and aggregation
General scripting (preference in Python)
Implementing big data (Hadoop) solutions
Good presentation and communication skills
Nice to Haves
Ability to travel and work abroad
Open to considering a full-time, permanent position
Equal Opportunity Employer

In our commitment to promote fair and equitable treatment of all employees and applicants, Adastra Corporation provides equal employment opportunities for all individuals regardless of age, sex, disability, race, ethnic origin, citizenship, creed, sexual orientation, marital status or any other ground as described in the Ontario Human Rights Code. In addition, accommodation will be provided during the hiring process. Adastra Corporation’s implementation and support of employment initiatives encourage diversified labour force participation and equal access to opportunities based on merit and performance.",3.4,"Adastra Group
3.4",Toronto,-1,201 to 500 Employees,2000,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
Data Engineer,-1,"Data Engineer

REQ:
PHC20-122916
Work Area:
Data Analytics PHC
Base Site:
Hornby Street
City:
Vancouver
Status:
Regular Full Time
FTE:
1.00
Job Category:
Management/Non Union
Post date:
Jun 30, 2020
Category:
Corporate
Hours:
0800-1600
We’re hiring a Data Engineer to establish an efficient and automated process for large scale data analysis, model development, validation and implementation at Providence Health Care. Experience in dimensional modeling and developing advanced analytics algorithms is key for this role as is strong knowledge of current trends regarding data engineering and advanced analytics techniques.

Summary

Reporting to the Manager, Operations Research and Analytics, the Data Engineer develops and establishes scalable, efficient, automated processes for large scale data analyses, and model development, validation and implementation. The position collaborates closely with other members of the Operations Research and Analytics team to create and deploy automated data pre-processing and advanced analytics models through the innovative understanding and use of large data sets to improve clinical processes and patient outcomes, and support data-driven decision making. The ideal candidate will have extensive experience in dimensional modeling, developing advanced analytics algorithms, optimizing processes with advanced analytics solutions, and excellent problem solving ability dealing with huge volumes of corporate and clinical data. The position will also stay apprised of current trends and research on all aspects of data engineering and advanced analytics techniques and works in collaboration with provincial and national colleagues.
Skills
Demonstrated strength in data modeling, ETL development, and data warehousing with solid knowledge of various industry standards such as dimensional modeling, and star schemas etc.
Demonstrated ability to build and optimize ‘big data’ data pipelines, architectures and data sets and computing tools such as Spark, MySQL, Azure, AWS, etc.
Demonstrated knowledge of methods and techniques involved in Advanced Analytics, data mining, statistics, and optimization (including neural networks, reinforcement learning, and adversarial learning).
Coding proficiency in at least one modern programming language (Python, Java, etc)
Demonstrated proficiency working with both relational (SQL) and non-relational databases (NoSQL).
Demonstrated understanding of data privacy, security and related tools such as anonymization and encryption.
Excellent oral and written communication skills and ability to clearly and fluently translate technical findings to non-technical partners and to communicate to multiple audiences using data storytelling and through graphics.
Demonstrated ability to work collaboratively in an interdisciplinary environment and to develop recommendations using facilitation and consensus building.
Strong analytical, critical thinking, and evaluation skills to discern and help solve the important problems facing health care, to identify new ways to leverage our data, and to direct efforts in the right direction.
Education

A Masters’ Degree in Computer Science, Mathematics, Engineering, or other quantitative degree is required plus at least five (5) years’ experience as a Data Engineer or related specialty (e.g., Software Developer, Business Intelligence Engineer, Data Scientist) with a track record of manipulating, processing, and extracting value from large datasets. Experience with healthcare analytics is an asset.
Duties
Creates and maintains optimal data pipeline architecture. Builds analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.
Builds the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and big data technologies. Re-designs infrastructure for greater scalability.
Assembles large, complex data sets that meet functional/non-functional business requirements. Creates data tools for the operations research and analytics team to assist them in building and optimizing our product into an innovative industry leader.
Identifies, designs, and implements internal process improvements including establishing standards for development processes and technical requirements; automating manual processes; optimizing data delivery, etc. Develops and ensures compliance for data management processes, policies and standards. Implements and enforces controls to maintain data availability and quality.
Recognizes and adopts best practices in data integrity, test design, analysis, validation, and documentation. Tunes application and query performance using profiling tools and SQL.
Researches innovative solutions, develops new concepts, and implements proof-of-concept prototypes by applying expertise in data engineering, advanced analytics, process modeling, and optimization tools and techniques.
Works in close collaboration with other members of the Data Analytics and Health Informatics teams to develop and implement innovative solutions that address pressing operational and clinical challenges within the organization.
Reviews clinical data at aggregate levels on a regular basis using analytical reporting tools to support the identification of risks and data patterns or trends. Creates analytical reports and presentations to facilitate review and adoption of data-driven choices. Collaborates with project/program teams to address data-related questions and to recommend potential solutions.
Works closely with clinical and management teams across PHC to strategize, develop, and implement advanced modelling projects that translate into improved quality of care, clinical outcomes, reduced costs, temporal efficiencies, and process improvements.
Works with stakeholders including the Executive, and Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
Keeps up-to-date with the latest technology trends and methods by staying abreast of state-of-the-art literature in the fields of advanced analytics, statistical modeling, statistical process control and mathematical optimization.
Perform other duties as required.

Apply Now

Employees of Providence Health Care receive an excellent and comprehensive health benefit package, as per their collective agreement or terms and conditions of employment.
Other benefit packages may apply if this is an affiliate posting.",4.0,"Providence Health Care
4.0",Vancouver,-1,5001 to 10000 Employees,1894,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1
Data Engineer,-1,"Location - Kelowna, Vancouver or Seattle

COVID-19 UPDATE: Please note that all Hyper Hippo Entertainment (HHE) employees are working remotely for the time being due to COVID-19, as the health & safety of our employees and their families is extremely important to us. Due to this, we’re currently having all new hires begin work with us remotely rather than in our office locations.

The Opportunity

We are creating a central hub in Microsoft Azure that will enable our teams to dive deeper into understanding what our players want and need from our games. As a Senior Data Engineer at Hyper Hippo, you will be responsible for expanding and optimizing our data and data pipeline architecture. This includes building and maintaining a conformed data model, handling the addition of new data sources, optimizing ETL/ELT pipeline, and preparing data for analytics and reporting done by cross functional teams.

A Data Engineer’s Impact
Utilize data engineering best practices to engineer a modern unified ETL/ELT data pipeline to collect, organize, process, and prepare data from multiple sources
Build data architecture for ingestion, processing, and surfacing of data for large-scale applications
Manage the addition of new games into the data pipeline ensuring that new data conforms to the existing data model
Build and maintain a unified analytical reporting layer to serve all levels and needs of the business from executive leadership to frontline analysts
Interface with business users and engineering teams to bridge the gap in terms of data needs and business term/logic understanding
Propose innovations where opportunities arise to meet the needs of stakeholders
Leverage industry best practices in establishing repeatable BI practices, principles & processes
Research and discover new methods to acquire data, and new applications for existing data
Your Track Record Includes
3-5+ years relevant experience; Fields of study in Computer Science, Data Engineering, Mathematics or commensurate experience required
Experience building business intelligence solutions (data warehouse, data mart, ETL, Reports)
Experience preparing data for Data Science and Machine Learning
Proven experience in data modelling; solid understanding of database concepts
Experience with a large cloud based data analytics and reporting platform
Ability to learn to navigate our Azure instance and can learn to work with Azure Data Factory, Azure Data Explorer, and Azure Blob Storage
Experience in implementing GDPR policies a plus
Solid experience in setting up data for use in Power BI is a plus
Compensation package
Competitive salary
Extraordinary incentive plan
Extended health, dental & vision benefits + a health & wellness spending account
3 weeks vacation + 10 paid personal/sick days per year
Annual self development budget to attend conferences, courses, training – you name it!
Our Core Values
We Are Bold
We Are One Team
We Are Player-First
We Are Creative
We Are Transparent
We Are Futuristic
What We’re Building at Hyper Hippo Entertainment

Hyper Hippo is an award-winning entertainment studio, driven to entertain, connect, and inspire billions of fans around the world.

Founded in 2012, by the creator of Club Penguin, Lance Priebe, Hyper Hippo is the studio behind the smash-hit idle games, AdVenture Capitalist (with 50+ million players), and AdVenture Communist - a cult mobile hit.

Headquartered in Canada, with studios in Kelowna, Vancouver and Seattle, Hyper Hippo brings together an exceptionally creative team that is relentlessly focused on innovating and exploring new forms of entertainment.",4.6,"Hyper Hippo Productions Ltd.
4.6",Vancouver,-1,51 to 200 Employees,2012,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1
Junior Enviromental Scientist,-1,"We are seeking an Environmental Scientist to join our Onsite division. Reporting to the Field Operations Supervisor, the successful candidate will be responsible for assisting in the management and execution of environmental assessments and site remediation and reclamation work within Alberta. Project activities will include but not be limited to assisting with groundwater and environmental assessment, monitoring, site remediation, reclamation, as well as general labour duties.

Duties and Responsibilities

The responsibilities of this role include, but are not limited to, assisting with:
Reclaiming cultivated and pasture lands
Small- and large-scale remediation through excavation
Completing Phase I& II Environmental Site Assessments, with a focus on soil contamination
Interpreting historic information to determine data gaps and prepare go-forward work plans
Data entry and writing portions of reports
Allocating time appropriately to meet assigned deadlines, submitting project charges in a timely and accurate manner
Maintaining timely communication with project team members including but not limited to Project Managers and Operations Supervisors
Maintaining an understanding of applicable environmental regulations, guidelines and associated industry practices within British Columbia, Alberta and Saskatchewan
Be willing to undertake labour tasks as required
Be willing to travel extensively
Qualifications and Educational Requirements:

The successful candidate will:
Be enrolled in a bachelor’s degree or diploma in Environmental, Biological Sciences, Environmental Engineering or related field.
Have skills in data organization and technical writing.
Have a valid Class 5 driver’s license; O&G industry safety tickets considered an asset.
Consulting and field experience are both considered an asset.",3.3,"Secure Energy Services Inc.
3.3",Medicine Hat,-1,1001 to 5000 Employees,-1,Company - Private,Energy,"Oil, Gas, Energy & Utilities",Less than $1 million (USD),-1
"Senior Data Scientist (Quebec City), Intact Lab",-1,"How do you imagine life at an insurance company - its people, its culture, its offices? We bet that if you join Intact, you will be in for quite a surprise!

With offices in downtown Toronto and Montreal, the Lab is a digital innovation hub bringing together actuaries, big data scientists, machine learning experts, geomaticians, meteorologists and software engineers who work together to propose and implement innovative solutions to the complex issues facing us.

Merging the speed and culture of a start-up with the resources and means of a large enterprise, the DataLab is a dynamic team offering exciting challenges, inspiring colleagues and great career opportunities (at one of Canadas Top 100 Employers!)

About you:
Are you a machine learning coding expert who believes we are only in the infancy of artificial intelligence? Are you passionate about advanced analytics and Big Data? Do you stay current with the latest trends in analytics and jump at the chance to experiment with new tools? We have the perfect opportunity for you!
Your Job
Hiring Manager: Sébastien Bernard

Workplace: Quebec City (5700, des Galeries)

YOUR CONTRIBUTION:
Develop innovative solutions for trend recognition using machine learning and advanced statistics
Transform complex databases into relevant conclusions and recommendations
Keep pace with new approaches and trends and use them in your own solutions
Help maintain our data mining tools and platforms
Make actionable recommendations based on the findings
Work with other departments to promote the adoption of analytical principles within the organization
Validate the quality of the analytical approach and project outputs of the other team members
Your Skills
YOUR ASSET:
Your Masters degree in a relevant discipline (mathematics, science, engineering, operational research, economics, statistics, AI, computer science or a related field)
Your 5 years of experience in the field of advanced statistics, data mining and text mining
A multi-platform production experience with the following commercial and open-source data mining frameworks:
Open-source frameworks: R, Python, GitHub
Expert-level understanding of the underlying theory of machine learning
Expert-level understanding in either computer image analysis, natural language processing or artificial intelligence
Your great teamworking skills
Your ability to focus on vaguely defined issues requiring the application of a creative approach
Your strong communication, time management and work organization skills
Closing Statement
This opportunity interests you? We look forward to meeting you!

Excellent benefits are offered: competitive salary, flexible benefits, flexible work arrangements, flexible leave, pension plan defined benefit, etc..

As part of Intacts selection process, candidates may be requested to consent to background checks relevant to the role under consideration for, prior to receiving a job offer. These could include: work references, education and credential confirmation, employment verification, identity check, credit report, criminal offence and drivers license record.

Please note we may have identified other internal candidates through our Employee Development Program, and that the selection process may also be opened to external applicants.

#li-qc
Referral Bonus
This role is eligible for employee referral bonus. #RightPeopleRightRole
Eligibility to work in Canada
Its important that you are eligible to work in Canada at the time an offer of employment is made. Proof of eligibility can be a Canadian birth certificate, Canadian passport, Canadian citizenship certificate, permanent residence card or confirmation.

Prior to receiving a job offer, you may be asked to consent to background checks if its a requirement for the role. These checks could include: work references, education and credential confirmation, employment verification, identity check, credit report, criminal offence and drivers license record.
Indeed Sponsored
IN-QCIT
Glassdoor Sponsored
#GD-Quebec",4.1,"Intact Financial Corporation
4.1",Quebec,-1,10000+ Employees,-1,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1
"Machine learning Engineer, Full Time",-1,"Machine Learning Engineer
Design, develop and implement end-to-end machine learning production pipelines (data exploration, sampling, training data generation, feature engineering, model building, and performance evaluation).
Apply fundamental data science methods such as regression, segmentation, causal inference and machine learning to provide analytical insights.
Ensures that data pipelines and models are scalable, repeatable, and secure, and can serve multiple users within the organization.
Apply design-thinking and agile mindset in working with other engineers, and business stakeholders to continuously experiment, iterate and deliver on new initiatives.
Help drive transformation by identifying new business opportunities through leveraging data and machine learning. Collaborate with sales and marketing, product, technology, investment management & other enterprise data and AI teams to evolve analytics strategies for the business.
Explore new capabilities and technologies to drive innovation, and share insights from conferences, recent research, and projects focused on statistics, machine learning, and data science with the business.

What do you need to succeed?

Must have:
BS, MS, or PhD in Mathematics, Statistics, Computer Science, Engineering or equivalent
Extensive experience with Python and software engineering fundamentals
Strong data modeling and data analytics skills
Practical experience applying machine learning algorithms and libraries to a business problem
Demonstrated ability to present analytical insights effectively to technical and non-technical stakeholders
Ability to launch production quality machine learning models in collaboration with engineering team
Strong sense of ownership and growth mindset

Nice to have:
Experience with statistical techniques and their applications in sales and marketing functions
Extensive domain knowledge in sales/marketing, financial products or asset management
Effective data storytelling and design thinking
Experience with big data and cloud technologies such as PySpark, Hadoop and S3
Understanding of scalable ETL pipelines in Docker/Kubernetes environment",3.4,"CoreHR Solutions Inc.
3.4",Toronto,-1,1 to 50 Employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
Senior Data Scientist - QuantumBlack,-1,"As a Senior Data Scientist at QuantumBlack in Montreal...
You will solve the hardest business problems with our clients in multiple industries worldwide while leading research and development of state-of-the-art Machine learning and statistical methods.
You will play a leading role in bringing the latest advances in deep learning to the world economy, collaborating with industry executives and QuantumBlack experts to find and execute opportunities to improve business performance using data and advanced machine learning models.
The role is ideal for a candidate with a strong R&D background in Machine Learning, combined with a passion for bringing the latest research to real applications. We welcome candidates interested in transitioning from a pure academic R&D background into an applied industry role.
You will also have the opportunity to grow a team of Data Scientists in Montreal that will live at the intersection of R&D and practical application of AI at scale, while collaborating with Data Science experts from other QuantumBlack hubs in Boston, Chicago, London, Sidney, and Sao Paolo.
Role responsibilities
Identify Machine Learning R&D initiatives that have a high potential of applicability in industry.
Work with Quantumblack leadership and Client executives to understand business problems and map them to state-of-the-art analytics and AI solutions.
Use the latest advances in Deep Learning, Reinforcement Learning, and AI, to solve business problems and derive key insights across various industry sectors including Formula 1, pharma, automotive and high-tech.
Work with the recruiting team to build an R&D focused team of data scientists in Montreal.
Build and maintain strong links with the academic world and constantly share ideas and stay ahead of the curve on the latest methods.
Mentor other data scientists and help them grow their knowledge and skills.
Work closely with Data Engineers, Machine Learning Engineers and Designers to build end-to-end analytics solutions for our clients that drive real impact in the real world.
Influence and help shape the R&D roadmap for QuantumBlack, especially on Deep Learning.
Work in a multi-disciplinary environment mixing highly skilled people in data science, data engineering, business and design.
Perhaps most importantly, you will work in one of the most talented and diverse data science teams in the world.
Please submit your CV in English

Visit our Careers site to watch our video and read about our interview processes and benefits.",4.4,"McKinsey & Company, Inc.
4.4",Montreal,-1,10000+ Employees,1926,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
E-Commerce Marketing Data Analyst,"CA$59k-CA$71k
(Glassdoor Est.)","Company Description

null
Job Description

What you'll do

Reporting into the Senior Manager of Analytics, The E-Commerce Marketing Data Analyst, will work closely with E-Commerce teams and with teams across the company including Marketing, Media, CRM, Strategic Planning and Business Intelligence.



We are looking for:

Strong Communicator

An excellent oral and written communicator with the ability to communicate effectively with both technical and non-technical stakeholders

Analytical Thinker

You are determined in your quest to understand data. You have experience in advanced analytics, programming and statistical tools

Strategic Thinker

A strategic cross-functional thinker able to gather buy-in from senior leadership for analytical and measurement framework approaches

Web Analytics
Construct and maintain dashboards that allow users to understand performance compared to internal benchmarks and to generate insight
Transform quantitative output into actionable, realistic marketing tactics
Identify and Extract relevant performance analysis data
Contribute to defining KPIs that better reflect performance of web initiatives as executions become increasingly more robust
Coordinate Analytics projects (Tracking / Tagging, connecting technologies, point of contact for the IT support teams)
Collaborate with BI teams to understand data structure to measure customer engagement
Create narratives from complex data sources that will be consumed by broad internal audiences
Conduct ad hoc analysis for E-com teams, and management priorities
Be able to confidently present analysis in front of senior management and be flexible in adapting to unexpected questions


E-Commerce Performance Analyst
Act as company expert on e-commerce marketing performance for NCSA markets
Facilitate decision-making with meaningful analysis and reports
Perform ROI analysis on Ubisoft’s key e-commerce initiatives
Provide analysis & recommendations to senior management
Identify emerging trends and Ubisoft’s position relative to the rest of the industry
Partner closely with E-commerce teams to support marketing objectives
Provide ad hoc reporting and analysis as needed
Identify gaps and opportunities in marketing support with actionable recommendations
Effortlessly move between objective analyst role and e-commerce support role
Qualifications

What you bring
Bachelor degree in a technical or quantitative discipline (Mathematics, Economics, Statistics or other applicable fields)
Minimum 2 years experience in a similar role with hands-on data analysis
Experience in a marketing analytics role and channels performance analysis
E-commerce experience
Expert Excel and PowerPoint skills, ability to take and combine multiple data sources and present insights
Storyteller with capability to present actionable insight in a meaningful way
Experience with business intelligence and data warehouse solutions, ideally Tableau, Adobe Analytics, SQL or other related programs
Ability to work in high-pressure, time-constrained situations
Ability to manipulate and combine multiple data sources and present insights that drive business decisions at all levels of the organization
Strong quantitative skills, experience utilizing scientific analytics methods, qualitative methods, and quantitative analysis techniques, as well as predictive modeling
Must be detail oriented, self-motivated and time efficient
Strong written and verbal communication skills in French & English
Knowledge of video game industry a plus
What to send our way
Your CV, highlighting your education, experience, and skills
Additional Information

At Ubisoft Montreal, a preeminent developer of video games located in Montreal’s dynamic Mile-End neighbourhood since 1997, we offer a work environment unique in the industry for allowing you to build and cultivate games that are part of critically acclaimed, iconic AAA franchises of international repute.

When you join Ubi Montreal, you enter a community of passionate, extraordinary developers connected by their need to innovate, to be creative and to work with the latest technology. You’ll discover a world where employees enjoy constant career advancement, a supportive learning environment, and competitive compensation packages.

More than anything, at Ubi Montreal, you will regularly ship a variety of big, quality titles – Assassin’s Creed, Far Cry, Rainbow Six, Watch_Dogs, For Honor and… well we can’t disclose all our secrets just yet… – and work with some of the most talented people in the industry.

We are an equal-opportunity employer and value diversity at our company. We do not discriminate on the basis of race, ethnicity, religion, gender, sexual orientation, age or disability status.",3.9,"Ubisoft Entertainment SA
3.9",Montreal,-1,10000+ Employees,1986,Company - Public,Video Games,Media,$2 to $5 billion (USD),-1
Senior Data Analyst,-1,"What EA Sports does:

EA Sports is one of the leading sports entertainment brands in the world with top-selling video game franchises, award-winning interactive technology, and cross-platform digital experiences. We create connected experiences that ignite the emotion of sports through industry-leading video games including FIFA soccer, Madden NFL football, NHL hockey, NBA LIVE basketball, UFC, and more.

What you'll do on our team:

As a Senior Analyst working within the FIFA Analytics team, your main focus will be on FIFA's Ultimate Team mode and its in-game economy, working primarily with the live content group along with a diverse set of colleagues in analytics around the world. We're looking for a thoughtful, curious person with a passion for diving into data to uncover insights and understand how our players are engaging with Ultimate Team. Your analysis will help ensure that its economy remains well-balanced as new content is continually introduced into the in-game market, so that players of all types can find success and enjoyment in the mode. Youll not only be a data explorer and modeler, but also a storyteller and influencer, driving insights that spur bold decisions for FUT's development team.

Examples of projects you may work on include: establishing the key set of metrics that the team will use to assess the ongoing health of the in-game economy; performing analysis to determine what's driving those metrics into healthy vs. unhealthy states; creating models to predict the value of new content being introduced into the in-game market, and the impact that its introduction will have on Ultimate Team and its players.

What a Senior Analyst will do on our team:
Model trends in our data to predict the ways in which new content and campaigns will affect the in-game economy, its performance, and our players.
Develop strategic insights to help our partners make informed decisions about Ultimate Team campaign and content planning, execution and monitoring.
Receive questions from our partners, determine the best ways that our data can help answer them, and provide those insights through dashboards, reports, or presentations.
Explore player behaviour patterns in our data to identify opportunities to improve the player experience.
Present analyses and findings to our partners in a clear, understandable, and actionable way.
Become an expert in live content strategies and campaigns.
What we're looking for:
A bachelors degree in Statistics, Economics, Data Science, Analytics, Mathematics, or a related field at a minimum; a masters degree in one of these fields is a significant plus
5+ years of experience in an analytics role using data to help guide decisions, preferably in a consumer products-oriented industry (e.g. gaming, e-commerce); experience with practical applications of economic analysis is a significant plus
Excellent SQL querying skills
Proficiency analyzing large datasets in both a spreadsheet program (e.g. Excel, Sheets) and in a programmatic analysis tool (e.g. Python, R)
Experience in practical applications of statistical modeling (e.g. multivariate regression, predictive modeling, clustering, machine learning)
Familiarity with use of data visualization applications (e.g. Tableau, R Shiny)
Passion for games or sports",3.9,"Electronic Arts Inc.
3.9",Vancouver,-1,5001 to 10000 Employees,1982,Company - Public,Video Games,Media,$2 to $5 billion (USD),-1
"Data Analyst, NAV Recon",-1,"Data Analyst, NAV Recon

Connor, Clark & Lunn Financial Group Ltd.

Vancouver, BC

We are looking for a Data Analyst, NAV Recon to join our Vancouver based Data Management Team.

The Data Management Team (DMT) resides within the middle-office of Connor, Clark & Lunn Financial Group (CC&L) and is responsible for managing processes and overall quality of data that supports the investment management processes of all CC&L affiliates. The team ensures that daily and historical data is accurate, data transport processes are successful, and complies with overall data governance. DMT is a key thought-leader, driving forward data management maturity at CC&L. CC&L, as an investment management firm responsible for over $77 billion in global assets, heavily relies on DMT for a variety of functions. This is a fantastic opportunity to contribute to the evolution and development of a strategic team whose scope, visibility, and importance continue to grow.

We place high value on maintaining an entrepreneurial spirit and creating a culture where everyone has opportunities to succeed. We are a solution-orientated and collaborative team seeking like-minded individuals who thrive in a challenging and dynamic environment.

What Youll Be Doing

DMT is uniquely positioned at the intersection of operations and technology, where the pervasiveness of data results in opportunities to collaborate with a variety of internal and external business partners. The team activities cover process management, ad-hoc problem solving, and continuous process improvement in both an independent and a collaborative setting. Our analysts are empowered to thrive as process owners with both the creativity and responsibility that comes with delegation. You will have the opportunity to work closely with multiple business partners including portfolio managers, middle/back office teams, and information technology. Key responsibilities include:
Reconcile pooled fund net asset values (NAV), which involves analyzing pooled fund transactions and related security pricing, connecting with external custodians and internal portfolio management teams across all CC&L affiliates
Ensure reconciled fund values are appropriately reflected / updated across various internal systems and communicate with various internal and external stakeholders as required
Update and setup securities from a global universe of securities across a variety of asset types
Maintain and validate equity data across multiple systems and databases with a high level of accuracy and detail
Analyze exception reports and follow-up to ensure timely resolution
Support ad-hoc data, reporting, RFP and sales and marketing requests
Develop and manage relationships with both internal and external clients
Seek out and implement innovative process/workflow improvements to increase efficiency, mitigate risk, and increase the level of service provided to stakeholders on a proactive basis
Support the team leader on a variety of ad-hoc tasks and projects
Write and update procedure documentation as required
About You
Problem Solver You possess an analytical mindset and can detect patterns to solve problems. You thrive on challenging and demanding environments where you are galvanized by strict deadlines.
Detail Oriented You pay exceptional attention to detail and have the ability to make connections and identify trends.
Collaborative You have a collaborative spirit that helps you to work well with others and you communicate effectively.
Self-Motivated You have a passion for advancing the quality, scale and efficiency of data processes and is able to take ownership of multiple domains.
Continuous Process Improvement Mindset You cannot stand inefficiency. You constantly take a critical eye to processes with the goal of finding improvements across multiple projects.
Education You have an undergraduate degree in business, mathematics, finance, or other related discipline. Completion of the Canadian Securities Course or enrollment in the CFA/FRM program is an asset.
Industry Knowledge You have 1 to 2 years of related working experience; preferably within the investment management or financial industry.
Coding Knowledge You have a keen interest in technology and how it can help you solve problems. The ability to understand, ad-hoc code/query, and analyze results from complex datasets (KDB+/Q/SQL/VBA) is an asset. On-the-job training will be provided.
About Us

Connor, Clark & Lunn Financial Group manages over $77 billion on behalf of institutional and individual clients. We believe that success in asset management is an outcome of attracting, retaining and motivating the most talented individuals in our industry. This is best achieved by the delivery of:
A High-Quality Environment - To work with people who we hold in high regard; to enjoy the time that we spend at work; to focus on productive activities without the distraction of politics and bureaucracy; to treat each other with respect.
An Opportunity to Succeed - To do work that has value and which presents the opportunity for professional growth and development.
Recognition and Reward - To recognize each persons contribution and to align compensation with contribution.
Our business comprises eleven institutional investment affiliates that are responsible for investment decision making and client service, Connor Clark & Lunn Private Capital which provides multi-asset class investment solutions and Connor, Clark & Lunn Funds which distributes mutual funds. Connor, Clark & Lunn Financial Group partners with each of its affiliates by contributing world class operations, product development expertise, broad distribution and business management. We have grown from $29 billion in assets and 200 people in 2008 to over $77 billion and 600 people today and has been accompanied by a high level of change in technology, types of assets managed, trading activity and geographic growth. As we look forward we can see both challenges and opportunities for further growth that only reinforce our commitment to attracting, retaining and motivating the most talented people in our industry.

We thank all candidates for their interest but only those applicants selected for an interview will be contacted.",4.3,"Connor Clark & Lunn Financial Group
4.3",Vancouver,-1,201 to 500 Employees,1982,Company - Private,Investment Banking & Asset Management,Finance,$25 to $50 million (USD),-1
